book_a;book_b;count
0439136350;0439064864;56
0439064864;0439136350;56
0590353403;0439064864;51
0439064864;0590353403;51
0439139597;0439136350;50
0439136350;0439139597;50
0439064864;0439139597;46
0439139597;0439064864;46
0590353403;0439136350;44
0439136350;0590353403;44
043935806X;0439064864;40
043935806X;0439136350;40
0439136350;043935806X;40
0439064864;043935806X;40
0439139597;043935806X;39
043935806X;0439139597;39
0316666343;0385504209;38
0385504209;0316666343;38
0345313860;0345337662;37
0345337662;0345313860;37
0439064872;059035342X;37
059035342X;0439064872;37
0446672211;0316666343;33
0316666343;0446672211;33
0312971346;0312966091;32
0312971346;0312966970;32
0590353403;0439139597;32
0671001795;0312966970;32
0312966970;0671001795;32
0312966091;0312971346;32
0439139597;0590353403;32
0312966970;0312971346;32
0345351525;0345313860;31
0345313860;0345351525;31
0385504209;0671027360;31
0671027360;0385504209;31
0345313860;034538475X;30
0671001795;0312966091;30
034538475X;0345313860;30
0312966091;0671001795;30
0312966091;0312966970;29
043935806X;0590353403;29
0312966970;0312966091;29
0312976275;0312971346;29
0312971346;0312976275;29
0590353403;043935806X;29
0439064872;0439136369;28
0439136369;0439064872;28
0440214041;044021145X;28
0316666343;0743418174;28
0743418174;0316666343;28
044021145X;0440214041;28
034538475X;0345337662;27
0345351525;0345337662;27
0439136369;059035342X;27
059035342X;0439136369;27
059035342X;043935806X;27
0345337662;0345351525;27
0345337662;034538475X;27
043935806X;059035342X;27
0312966970;0312976275;26
0440211727;0440214041;26
0440214041;0440211727;26
0312976275;0312966970;26
051513287X;0515131229;25
0312195516;0679781587;25
0439139600;043935806X;25
043935806X;0439139600;25
0679781587;0312195516;25
0515132020;0515131229;25
0345351525;034538475X;25
034538475X;0345351525;25
0515131229;051513287X;25
0515131229;0515132020;25
0316666343;0316601950;24
0312195516;0316666343;24
0842329218;0842329250;24
0515136379;0515136530;24
0440220602;044021145X;24
044021145X;0440220602;24
0679781587;0316666343;24
0312971346;0671001795;24
0312966091;0312976275;24
0312976275;0312966091;24
0515136530;0515136379;24
0316096199;0316666343;24
0842329250;0842329218;24
0316666343;0316096199;24
0316666343;0312195516;24
0316601950;0316666343;24
0312990456;0671001795;24
0671001795;0312990456;24
0671001795;0312971346;24
0142001740;0385504209;24
0316666343;0679781587;24
0385504209;0142001740;24
0385335482;0385335881;23
0312966970;0312980140;23
0385335881;0385335482;23
0312980140;0312966970;23
0060928336;0316666343;23
0842329129;0842329218;23
0515132020;051513287X;23
051513287X;0515132020;23
0842329218;0842329129;23
0316666343;0060928336;23
0312195516;0385504209;22
0440213525;0440214041;22
0345339711;0345339738;22
0142001740;0316666343;22
0451190491;0451190548;22
0440211727;0440213525;22
0439064872;0439139600;22
0385504209;0312195516;22
0312195516;0452282152;22
0316666343;0142001740;22
0345339738;0345339711;22
0451190548;0451190491;22
0312980140;0312966091;22
0452282152;0312195516;22
0345339738;0345339703;22
0440213525;0440211727;22
0312966091;0312980140;22
0312980140;0671001795;22
0345339703;0345339738;22
0440214041;0440213525;22
0671001795;0312980140;22
0439139600;0439064872;22
0439139597;059035342X;21
0553280341;0553271636;21
059035342X;0439139597;21
0842329250;0842329242;21
0553284789;0553279556;21
0842329242;0842329250;21
0064407675;0064407667;21
044021145X;0440211727;21
067976402X;0316666343;21
0451190491;0451190564;21
0451190564;0451190491;21
0671003755;0316666343;21
044021145X;044022165X;21
0553280368;0553280341;21
0553280341;0553280368;21
0842329218;0842329242;21
0553279912;0553280341;21
0553271636;0553280341;21
0440211727;044021145X;21
0553280341;0553279912;21
0312980140;0312971346;21
0316666343;0671003755;21
0064407667;0064407675;21
0312971346;0312980140;21
0553279556;0553284789;21
044022165X;044021145X;21
0842329242;0842329218;21
0671021001;0316666343;20
1400034779;1400031354;20
0515128546;0515128554;20
0061009059;0671001795;20
0671001795;0061009059;20
0440213525;044021145X;20
0451190556;0451190521;20
0451190521;0451190556;20
0515126772;0515128554;20
0553284789;0553280341;20
0439136369;0439139600;20
0553280341;0553284789;20
0060976845;0060928336;20
1400031354;1400034779;20
0515128554;0515128546;20
044021145X;0440213525;20
0060928336;0060976845;20
0515128554;0515126772;20
0439139600;0439136369;20
0451190564;0451190548;19
0312976275;0312980140;19
0451190521;0451190491;19
0446310786;0316769487;19
0439136369;043935806X;19
0553279556;0553280341;19
0312980140;0312983867;19
0515136530;051513628X;19
043935806X;0439136369;19
0312983867;0312980140;19
0449219364;0449219461;19
0312980140;0312976275;19
0679781587;0060930535;19
051513628X;0515136379;19
051513628X;0515136530;19
0842329129;0842329242;19
0060930535;0679781587;19
0312195516;0060928336;19
0451190548;0451190556;19
0316769487;0446310786;19
0842329242;0842329129;19
0449219461;0449219364;19
059035342X;0439139600;19
0553280341;0553279556;19
0060928336;0312195516;19
0451190548;0451190564;19
0515136379;051513628X;19
0439139600;059035342X;19
0451190556;0451190548;19
0451190491;0451190521;19
0449219364;0553284789;18
0451190564;0451190521;18
0345339681;0345339738;18
0449219364;0553280341;18
059035342X;0439136350;18
0451190548;0451190521;18
0425147622;0425154092;18
0316284955;0316666343;18
0156027321;0316666343;18
0451190491;0451190556;18
0449221512;0553284789;18
0345339711;0345339703;18
0439136350;059035342X;18
0060928336;0679781587;18
0877017883;0811801802;18
0385484518;0786868716;18
0375727345;0316666343;18
0786868716;0385484518;18
0451190521;0451190564;18
0553284789;0449219364;18
0345339703;0345339711;18
0425154092;0425147622;18
0446672211;0316601950;18
0671001795;0312976275;18
0312976275;0671001795;18
0451190556;0451190491;18
0380718332;0425154092;18
0312966091;0061009059;18
0553280341;0449219364;18
0515126772;0515128546;18
0425154092;0380718332;18
0679781587;0060928336;18
0515128546;0515126772;18
0553284789;0449221512;18
0811801802;0877017883;18
0061009059;0312966091;18
0312278586;0316666343;18
0345339738;0345339681;18
0451190521;0451190548;18
0316601950;0446672211;18
0312924585;0440206154;17
0451190556;0451190564;17
043935806X;0316666343;17
0440212561;0440215625;17
0064407667;0064407683;17
0553279556;0449219461;17
0553271636;0553279556;17
0385504209;0786868716;17
0312195516;0375726403;17
0439064872;043935806X;17
0060930535;0312195516;17
0375726403;0312195516;17
0440211727;0316666343;17
0449221482;0449221512;17
0375726403;0316666343;17
0449219461;0553279556;17
0451190521;0451190572;17
0312195516;0316601950;17
0440206154;0312924585;17
0440213525;0440220602;17
067976402X;0679781587;17
0553279556;0449221512;17
0553279912;0553280368;17
0449221512;0449219364;17
0375706771;0316666343;17
0446672211;0060928336;17
0312195516;0060930535;17
