Title,Cluster
The Player,0
The Honeymooners,0
McHale's Navy,1
Bewitched,2
M*A*S*H,1
The Streets of San Francisco,4
The A-Team,0
Miami Vice,0
Anne of Green Gables,5
The Bold and the Beautiful,1
Dekalog,0
In the Heat of the Night,1
Wings,0
A Touch of Frost,0
Space: Above and Beyond,1
3rd Rock from the Sun,3
"Sabrina, the Teenage Witch",0
Buffy the Vampire Slayer,4
Fired Up,0
The Grand,2
Stargate SG-1,0
Jesse,0
Creature,5
Sex and the City,4
The Doombolt Chase,0
Arthur,2
The Powerpuff Girls,0
Strangers with Candy,0
Home Movies,0
Dark Angel,3
Get Real,2
Yu-Gi-Oh!,0
The Dead Zone,4
The Bachelor,0
The O.C.,3
Entourage,0
Veronica Mars,2
Ghost Hunters,3
Robot Chicken,0
Star Wars: The Clone Wars,1
Bones,0
It's Always Sunny in Philadelphia,0
The Company,3
Psych,0
Friday Night Lights,2
Rules of Engagement,0
Eureka,1
Heroes,0
Saving Grace,5
Life,0
Shaun the Sheep,0
The Inbetweeners,0
Wuthering Heights,2
Sonny with a Chance,0
Meet the Browns,0
Carlos,1
Emma,0
Spartacus: War of the Damned,0
Luther,0
Nikita,0
Perception,0
Last Man Standing,0
Unforgettable,0
Lilyhammer,0
Anger Management,0
Gomorrah,1
Revolution,3
The Following,0
Defiance,0
Hannibal,4
Twisted,0
Hit the Floor,0
Rogue,0
The Returned,1
Sleepy Hollow,0
Fargo,0
Outlander,0
12 Monkeys,0
Empire,0
Daredevil,0
Happy Valley,0
Deadline Gallipoli,0
Constantine,0
The Messengers,3
Secrets and Lies,0
Trapped,0
The Girlfriend Experience,1
The Missing,2
War & Peace,0
Scream: The TV Series,0
The Border,2
Lovesick,2
Rush Hour,0
Unforgotten,4
Limitless,5
The Family,0
Wolf Creek,0
A Series of Unfortunate Events,2
BrainDead,0
Preacher,2
The Secret,1
Lethal Weapon,0
Van Helsing,0
Conviction,0
Notorious,0
Animal Kingdom,1
Code Name: K.O.Z.,0
Saving Christmas,0
Superbabies: Baby Geniuses 2,3
Daniel der Zauberer,0
Manos: The Hands of Fate,2
Pledge This!,3
Turks in Space,2
Foodfight!,1
Birdemic: Shock and Terror,0
Dream.net,0
Titanic: The Legend Goes On...,0
Disaster Movie,3
Zombie Nation,0
The Hottie & the Nottie,4
Keloglan vs. the Black Prince,0
From Justin to Kelly,0
A Fox's Tale,2
Ram Gopal Varma's Indian Flames,0
Going Overboard,4
Yes Sir,0
Attack of the Jurassic Shark,3
Potato Salad,0
Ben & Arthur,0
The Legend of the Titanic,0
Himmatwala,0
Birdemic 2: The Resurrection,0
Monster a-Go Go,0
House of the Dead,3
Who's Your Caddy?,0
Humshakals,0
Hobgoblins,4
Glitter,4
The Beast of Yucca Flats,0
Son of the Mask,0
Crossover,0
Space Mutiny,0
Night Train to Mundo Fine,0
Extra Terrestrial Visitors,4
Dracula 3000,0
The Wild World of Batwoman,1
Surf School,0
Epic Movie,0
Alone in the Dark,0
The Starfighters,4
Leonard Part 6,0
Final Justice,0
Eegah,0
Die Hard Dracula,0
The Class,0
United Passions,0
Gigli,1
Kyaa Kool Hain Hum 3,2
The Pumaman,4
Battlefield Earth,2
Too Beautiful,0
Smolensk,1
Track of the Moon Beast,4
Anne B. Real,4
Invasion of the Neptune Men,3
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,1
Zaat,0
The Skydivers,4
Girl in Gold Boots,4
The Oogieloves in the Big Balloon Adventure,1
Chairman of the Board,0
Lawnmower Man 2: Beyond Cyberspace,0
Dark Harvest II: The Maize,4
The Touch of Satan,4
Baby Geniuses,0
Soultaker,1
The Blade Master,0
Prince of Space,0
Simon Sez,0
Santa Claus Conquers the Martians,1
Tees Maar Khan,0
Breaking Wind,1
Santa with Muscles,5
Zombie Nightmare,2
Boggy Creek II: And the Legend Continues,0
A Story About Love,4
Fat Slags,1
"Car 54, Where Are You?",0
Dragonball: Evolution,1
The Aztec Mummy Against the Humanoid Robot,0
Body in the Web,0
Mitchell,0
Theodore Rex,0
Santa Claus,0
Laserblast,0
Ed,0
Survival Island,0
Time Chasers,5
Devil Fish,0
Meet the Spartans,1
It's Pat: The Movie,1
I Accuse My Parents,0
The Bat People,2
Danes Without a Clue,0
Ghosts Can't Do It,4
Warrior of the Lost World,0
The Shawshank Redemption,0
The Godfather,1
The Godfather: Part II,1
The Dark Knight,0
12 Angry Men,0
Schindler's List,0
The Lord of the Rings: The Return of the King,0
Pulp Fiction,1
Fight Club,5
The Lord of the Rings: The Fellowship of the Ring,0
Forrest Gump,0
Star Wars: Episode V - The Empire Strikes Back,2
Inception,0
The Lord of the Rings: The Two Towers,0
One Flew Over the Cuckoo's Nest,0
Goodfellas,1
The Matrix,0
Star Wars: Episode IV - A New Hope,0
Se7en,0
It's a Wonderful Life,5
The Silence of the Lambs,4
The Usual Suspects,0
Léon: The Professional,2
Saving Private Ryan,3
City Lights,0
Interstellar,0
American History X,0
Modern Times,4
Casablanca,0
The Green Mile,1
Psycho,4
Raiders of the Lost Ark,0
The Pianist,0
Rear Window,0
The Departed,5
Whiplash,4
Terminator 2: Judgment Day,0
Back to the Future,0
Gladiator,2
The Lion King,0
The Prestige,0
Apocalypse Now,0
Memento,0
The Great Dictator,0
Sunset Boulevard,0
Alien,2
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,5
Paths of Glory,2
Django Unchained,0
The Shining,2
